house_id,seller_id,agent_id,address,city,neighborhood,zip_code,latitude,longitude,property_type,bedrooms,bathrooms,garage_spaces,stories,square_feet,lot_size,construction_year,school_district,listing_price,estimated_market_value,price_per_sq_ft,listing_date,days_on_market,hoa_fee,status
19,19,17,06512 Samantha Mills,Kirkland,Juanita,07682,47.691506,-122.192982,TOWNHOUSE,2,4.0,3,2,2112,5975,1980,Lake Washington School District,1262000.0,1240000.0,597.54,2025-10-16,27,640,PENDING
20,16,26,10804 Morales River Suite 399,Redmond,Overlake,01891,47.674098,-122.117643,CONDO,3,2.5,3,3,724,4795,1952,Lake Washington School District,346000.0,336000.0,477.9,2025-12-11,15,577,ACTIVE
21,40,18,9915 Shawn Isle Apt. 110,Redmond,Overlake,78511,47.670622,-122.117471,TOWNHOUSE,4,3.5,0,2,1584,7223,1960,Lake Washington School District,819000.0,840000.0,517.05,2026-03-15,60,623,ACTIVE
22,15,10,284 Fisher Stream,Mercer Island,Luther Burbank,81877,47.577951,-122.21488,SINGLE_FAMILY,2,3.5,1,3,2801,1592,1961,Mercer Island School District,2426000.0,2384000.0,866.12,2025-12-07,25,0,SOLD
23,69,24,00249 Palmer Run,Redmond,Education Hill,99378,47.682043,-122.135619,SINGLE_FAMILY,4,2.0,0,2,3918,7335,1983,Lake Washington School District,2484000.0,2444000.0,634.0,2025-11-06,78,0,SOLD
24,41,9,74954 Cordova Path,Kirkland,Juanita,77366,47.688728,-122.200776,SINGLE_FAMILY,2,3.5,0,1,3892,8534,1996,Lake Washington School District,2558000.0,2723000.0,657.25,2026-02-23,6,0,ACTIVE
25,108,8,38806 Gonzalez Flats,Seattle,Fremont,84459,47.598648,-122.319624,SINGLE_FAMILY,3,4.0,0,3,3368,4554,1969,Seattle Public Schools,1657000.0,1782000.0,491.98,2026-05-25,20,0,ACTIVE
26,18,29,3779 Christian Port,Redmond,Overlake,44496,47.684881,-122.113294,CONDO,3,1.0,3,1,833,4522,1978,Lake Washington School District,407000.0,439000.0,488.6,2026-02-08,30,399,WITHDRAWN
27,51,24,2170 Robinson Alley Apt. 379,Redmond,Bear Creek,28437,47.681714,-122.129146,SINGLE_FAMILY,1,2.5,0,1,4350,5936,1981,Lake Washington School District,2843000.0,2943000.0,653.56,2025-09-24,49,0,PENDING
28,79,4,636 Margaret Avenue Suite 015,Kirkland,Juanita,04435,47.677794,-122.213855,TOWNHOUSE,3,1.0,1,3,1309,3792,1992,Lake Washington School District,744000.0,775000.0,568.37,2026-01-16,16,272,SOLD
29,22,19,7395 Theresa Flat,Issaquah,Olde Town,26430,47.530263,-122.028484,CONDO,3,3.0,0,2,1182,6926,2002,Issaquah School District,586000.0,592000.0,495.77,2025-10-10,21,371,WITHDRAWN
30,52,5,2583 James Fall,Seattle,Magnolia,34814,47.594469,-122.34393,CONDO,3,2.0,3,1,1052,5890,1991,Seattle Public Schools,445000.0,445000.0,423.0,2026-05-26,50,644,ACTIVE
31,11,7,261 Boyle Inlet,Seattle,Fremont,60296,47.59565,-122.325765,SINGLE_FAMILY,5,2.5,0,3,2885,3948,1965,Seattle Public Schools,1406000.0,1489000.0,487.35,2025-09-24,38,0,ACTIVE
32,27,26,289 Johns Circles Apt. 223,Bothell,Canyon Park,25625,47.748744,-122.21855,SINGLE_FAMILY,4,1.5,1,1,3456,8247,2007,Northshore School District,1918000.0,1977000.0,554.98,2026-01-08,56,0,ACTIVE
33,6,3,9630 Melissa Hill Apt. 530,Bellevue,West Bellevue,83005,47.622175,-122.203197,TOWNHOUSE,2,4.0,2,1,1960,1849,1960,Bellevue School District,1176000.0,1174000.0,600.0,2026-04-14,64,275,SOLD
34,55,30,973 Kristen Turnpike,Seattle,Capitol Hill,87467,47.599449,-122.33372,SINGLE_FAMILY,2,3.0,1,3,3417,3917,2013,Seattle Public Schools,1947000.0,2035000.0,569.8,2026-02-07,68,0,ACTIVE
35,135,8,685 Stone Fall,Bellevue,Downtown,42683,47.624782,-122.193043,SINGLE_FAMILY,3,3.0,3,2,2049,8976,1961,Bellevue School District,1371000.0,1351000.0,669.11,2026-03-15,77,0,ACTIVE
36,72,2,774 Little Turnpike Apt. 333,Redmond,Overlake,59756,47.674783,-122.113495,SINGLE_FAMILY,5,1.5,0,1,2536,6881,1953,Lake Washington School District,1509000.0,1500000.0,595.03,2026-05-09,35,0,SOLD
37,45,6,46692 Scott Corner Apt. 147,Seattle,Capitol Hill,68503,47.608976,-122.322914,CONDO,4,3.0,0,3,707,7238,1978,Seattle Public Schools,283000.0,305000.0,400.28,2025-11-03,50,540,ACTIVE
38,15,8,8956 Mcdonald Lodge,Redmond,Bear Creek,48671,47.665464,-122.120707,SINGLE_FAMILY,1,3.0,1,1,2571,4291,2013,Lake Washington School District,1841000.0,1821000.0,716.06,2026-04-17,27,0,ACTIVE
39,29,28,6027 Joseph Club Suite 148,Issaquah,Talus,67713,47.54092,-122.018783,CONDO,3,3.5,3,3,981,2327,1957,Issaquah School District,386000.0,399000.0,393.48,2026-01-13,48,404,SOLD
40,45,23,3111 Johnson Flats,Bellevue,Somerset,44247,47.601797,-122.198831,CONDO,2,2.0,2,1,1399,2955,2005,Bellevue School District,907000.0,976000.0,648.32,2025-09-08,5,609,SOLD
41,57,21,4439 Yesenia Terrace Suite 044,Mercer Island,Luther Burbank,45934,47.558823,-122.222214,SINGLE_FAMILY,3,1.0,1,2,4124,4117,1954,Mercer Island School District,3318000.0,3335000.0,804.56,2026-04-10,26,0,SOLD
42,18,12,9078 Michelle Forks Apt. 373,Kirkland,Totem Lake,68111,47.685511,-122.199388,CONDO,1,2.5,3,1,1375,8746,1992,Lake Washington School District,736000.0,735000.0,535.27,2026-01-28,57,502,ACTIVE
43,58,6,751 Singleton Meadow Suite 377,Issaquah,Squak Mountain,73697,47.517311,-122.022227,SINGLE_FAMILY,3,2.0,2,1,3337,2107,1962,Issaquah School District,1819000.0,1922000.0,545.1,2025-07-09,48,0,PENDING
44,124,23,240 Cochran Village,Seattle,Ballard,46987,47.60414,-122.327491,SINGLE_FAMILY,3,2.5,1,1,2107,2329,2020,Seattle Public Schools,1447000.0,1559000.0,686.76,2025-10-30,47,0,ACTIVE
45,13,13,6845 Ashley Bypass Apt. 259,Seattle,Magnolia,83055,47.60769,-122.332372,SINGLE_FAMILY,2,1.0,3,1,4069,3912,2019,Seattle Public Schools,2376000.0,2378000.0,583.93,2026-04-15,89,0,ACTIVE
46,122,28,3618 Lopez Coves Suite 974,Kirkland,Juanita,12722,47.671151,-122.209076,SINGLE_FAMILY,3,3.5,2,1,2197,6758,1953,Lake Washington School District,1355000.0,1409000.0,616.75,2025-08-30,74,0,WITHDRAWN
47,68,8,97023 Rhonda Lights,Bellevue,Somerset,37701,47.612027,-122.211966,SINGLE_FAMILY,4,1.0,0,3,3362,4316,1997,Bellevue School District,2412000.0,2351000.0,717.43,2025-09-11,74,0,ACTIVE
48,138,22,817 Miguel Branch Apt. 566,Bellevue,Bridle Trails,21083,47.612281,-122.209431,TOWNHOUSE,3,2.5,0,3,1532,6179,2020,Bellevue School District,1128000.0,1142000.0,736.29,2026-06-24,71,659,PENDING
49,43,7,671 Friedman Way,Kirkland,Juanita,27564,47.665686,-122.208299,CONDO,5,2.5,1,3,800,2711,1965,Lake Washington School District,416000.0,424000.0,520.0,2025-08-15,81,382,SOLD
50,71,17,6729 Matthews Parkway,Bellevue,Bridle Trails,94449,47.622615,-122.216129,TOWNHOUSE,4,3.0,3,1,2126,4895,1958,Bellevue School District,1213000.0,1251000.0,570.56,2026-03-05,24,325,PENDING
51,138,29,02716 Alicia Port Suite 779,Redmond,Overlake,05623,47.685237,-122.128576,SINGLE_FAMILY,4,3.0,3,1,2210,2910,1963,Lake Washington School District,1348000.0,1323000.0,609.95,2026-03-24,40,0,ACTIVE
52,61,2,754 Austin Valleys Apt. 632,Bellevue,Bridle Trails,81468,47.622725,-122.189589,TOWNHOUSE,1,4.0,2,2,1997,3796,2001,Bellevue School District,1333000.0,1423000.0,667.5,2026-03-22,67,689,ACTIVE
53,83,9,2916 John Ways Apt. 484,Renton,Fairwood,87881,47.480403,-122.212733,SINGLE_FAMILY,2,1.5,3,3,2733,5468,1967,Renton School District,1126000.0,1184000.0,412.0,2026-05-28,71,0,SOLD
54,135,29,6815 Karina Parkways,Issaquah,Talus,43232,47.515968,-122.041817,CONDO,4,4.0,0,1,1177,1770,1970,Issaquah School District,465000.0,487000.0,395.07,2025-11-25,63,275,ACTIVE
55,32,22,3807 Charles Square,Issaquah,Olde Town,89056,47.522358,-122.032936,TOWNHOUSE,3,4.0,3,3,1580,6016,1997,Issaquah School District,810000.0,831000.0,512.66,2026-03-28,49,426,SOLD
56,147,25,6360 John Station Apt. 577,Seattle,Capitol Hill,60971,47.616913,-122.327679,CONDO,4,2.0,3,3,1355,1664,1961,Seattle Public Schools,527000.0,534000.0,388.93,2025-07-23,6,492,ACTIVE
57,71,14,727 Skinner Extension,Issaquah,Squak Mountain,02868,47.540648,-122.03383,TOWNHOUSE,2,2.0,3,3,1915,2338,1951,Issaquah School District,855000.0,887000.0,446.48,2026-02-04,5,511,SOLD
58,28,16,1862 Emily Branch,Sammamish,Klahanie,89286,47.611389,-122.042306,CONDO,3,2.0,2,3,1033,7325,2021,Lake Washington School District,602000.0,624000.0,582.77,2025-10-06,88,402,ACTIVE
59,82,22,2308 Scott Causeway Apt. 647,Seattle,Capitol Hill,07371,47.612838,-122.327438,SINGLE_FAMILY,5,2.0,3,2,2784,4680,1957,Seattle Public Schools,1458000.0,1543000.0,523.71,2026-02-01,9,0,SOLD
60,122,30,3353 Christopher Manor,Kirkland,Rose Hill,04163,47.672655,-122.211994,CONDO,2,3.5,1,2,844,2299,1993,Lake Washington School District,465000.0,462000.0,550.95,2026-06-24,65,315,PENDING
61,57,12,13122 Robert Coves Suite 583,Renton,Highlands,82378,47.490226,-122.222887,TOWNHOUSE,4,2.0,2,2,1872,6296,1973,Renton School District,715000.0,764000.0,381.94,2025-09-12,42,487,SOLD
62,50,17,1331 Morris Bridge Suite 506,Issaquah,Olde Town,28388,47.541125,-122.03615,SINGLE_FAMILY,3,1.0,1,1,4398,3140,2024,Issaquah School District,3028000.0,3144000.0,688.49,2025-12-12,48,0,PENDING
63,125,11,495 Carlos Forge,Bellevue,West Bellevue,54384,47.604502,-122.21476,SINGLE_FAMILY,3,1.5,1,3,3674,7762,1968,Bellevue School District,2468000.0,2588000.0,671.75,2025-10-16,25,0,SOLD
64,123,13,89241 Jarvis Square Suite 252,Redmond,Education Hill,83778,47.660032,-122.130518,TOWNHOUSE,3,1.0,2,3,1390,3061,1966,Lake Washington School District,741000.0,770000.0,533.09,2026-04-02,7,596,ACTIVE
65,79,6,715 Charlotte Prairie Suite 683,Seattle,Ballard,66485,47.615915,-122.338154,TOWNHOUSE,3,3.5,2,2,1531,8774,1994,Seattle Public Schools,719000.0,706000.0,469.63,2026-01-28,22,425,PENDING
66,59,8,09143 Todd River,Sammamish,Inglewood,10906,47.630846,-122.044264,SINGLE_FAMILY,1,3.0,1,1,2571,4503,1971,Lake Washington School District,1523000.0,1631000.0,592.38,2025-07-20,88,0,ACTIVE
67,13,22,4326 Dawn Freeway Suite 524,Bothell,Canyon Park,42121,47.764707,-122.219808,SINGLE_FAMILY,4,2.5,3,2,4422,2512,1982,Northshore School District,2307000.0,2396000.0,521.71,2026-02-18,75,0,PENDING
68,70,20,640 Melanie Isle,Seattle,Magnolia,45423,47.612222,-122.334535,TOWNHOUSE,4,3.0,0,2,1510,2433,1951,Seattle Public Schools,654000.0,682000.0,433.11,2025-09-25,18,504,SOLD
69,42,2,339 Boyd Falls,Seattle,Magnolia,58482,47.606091,-122.340869,SINGLE_FAMILY,5,2.0,1,1,2877,1604,2016,Seattle Public Schools,1802000.0,1819000.0,626.35,2026-02-13,90,0,ACTIVE
70,26,29,1302 David Extensions,Seattle,Fremont,78178,47.61053,-122.333397,SINGLE_FAMILY,5,2.0,3,1,4151,2317,2013,Seattle Public Schools,2395000.0,2347000.0,576.97,2026-01-14,27,0,PENDING
71,12,1,81674 Jennifer Gardens,Issaquah,Olde Town,56077,47.535001,-122.042485,CONDO,3,2.5,2,3,1018,2261,1990,Issaquah School District,452000.0,444000.0,444.01,2025-09-01,52,667,SOLD
72,108,21,4973 Huffman Orchard,Bellevue,West Bellevue,10988,47.598492,-122.195615,SINGLE_FAMILY,2,4.0,1,1,3439,4908,2008,Bellevue School District,2705000.0,2739000.0,786.57,2026-06-10,80,0,SOLD
73,34,16,6277 Wagner Street Suite 270,Redmond,Overlake,50494,47.662288,-122.124161,SINGLE_FAMILY,1,2.0,2,1,3594,7271,1973,Lake Washington School District,2202000.0,2325000.0,612.69,2025-12-01,72,0,SOLD
74,134,23,9828 Jonathan Mountain,Renton,Fairwood,40589,47.486447,-122.219115,SINGLE_FAMILY,4,2.5,2,3,4114,7040,1978,Renton School District,1812000.0,1891000.0,440.45,2025-12-11,87,0,ACTIVE
75,121,28,971 Taylor Mountains Apt. 230,Bellevue,Bridle Trails,02183,47.621182,-122.214254,CONDO,3,1.5,2,2,1221,1912,1956,Bellevue School District,622000.0,667000.0,509.42,2026-05-08,69,364,PENDING
76,128,15,6665 Burns Row Apt. 601,Redmond,Overlake,50940,47.662461,-122.121579,SINGLE_FAMILY,4,1.0,3,2,2762,1793,1960,Lake Washington School District,1667000.0,1764000.0,603.55,2026-06-03,76,0,ACTIVE
77,117,11,64587 Horton Run,Redmond,Overlake,51007,47.683659,-122.112002,CONDO,4,2.0,3,3,1268,6883,1988,Lake Washington School District,676000.0,698000.0,533.12,2026-06-01,51,616,SOLD
78,75,18,70502 Jacobs Springs,Redmond,Bear Creek,19816,47.670117,-122.13331,SINGLE_FAMILY,4,2.5,1,3,4498,7582,1978,Lake Washington School District,2590000.0,2613000.0,575.81,2025-09-29,57,0,SOLD
79,49,23,11669 April Field,Seattle,Fremont,55937,47.594433,-122.334666,TOWNHOUSE,5,4.0,0,2,1492,5246,1965,Seattle Public Schools,688000.0,697000.0,461.13,2025-08-28,89,551,PENDING
80,150,16,4886 Gross Terrace Apt. 195,Mercer Island,Luther Burbank,19206,47.579132,-122.209795,SINGLE_FAMILY,4,1.5,1,1,3843,4673,1950,Mercer Island School District,3203000.0,3124000.0,833.46,2025-10-04,89,0,SOLD
81,64,9,640 Lisa Alley,Kirkland,Totem Lake,13198,47.690808,-122.191885,CONDO,3,1.5,1,2,1166,6435,1999,Lake Washington School District,622000.0,645000.0,533.45,2025-07-24,70,403,SOLD
82,75,22,646 Gregory Ferry Apt. 372,Bothell,North Creek,66379,47.772736,-122.21642,SINGLE_FAMILY,4,1.5,2,3,3085,2445,2020,Northshore School District,1898000.0,1883000.0,615.24,2026-06-09,50,0,SOLD
83,134,4,323 Karen Valleys Apt. 467,Redmond,Education Hill,82661,47.670326,-122.134908,SINGLE_FAMILY,2,2.0,1,2,3509,7098,2018,Lake Washington School District,2448000.0,2603000.0,697.63,2026-05-27,37,0,SOLD
84,27,20,214 Nicholas Harbor,Seattle,Greenwood,08924,47.613385,-122.321155,SINGLE_FAMILY,4,3.0,3,1,3008,5685,1976,Seattle Public Schools,1568000.0,1527000.0,521.28,2025-10-31,41,0,SOLD
85,142,2,7100 Walton Avenue,Renton,Highlands,87706,47.49021,-122.226007,SINGLE_FAMILY,4,4.0,3,1,3362,8966,1999,Renton School District,1517000.0,1603000.0,451.22,2026-01-27,86,0,SOLD
86,50,10,38069 Frederick Mountains,Renton,Downtown,99710,47.473223,-122.21162,TOWNHOUSE,2,1.5,0,2,2073,1832,2025,Renton School District,985000.0,1021000.0,475.16,2025-10-29,59,392,SOLD
87,11,5,5553 Ortega Lane Apt. 551,Redmond,Overlake,00905,47.676806,-122.11329,SINGLE_FAMILY,3,4.0,2,2,4192,7970,1982,Lake Washington School District,2614000.0,2670000.0,623.57,2025-12-12,78,0,SOLD
88,130,6,209 Misty Harbors Apt. 579,Redmond,Overlake,90440,47.675192,-122.124397,SINGLE_FAMILY,3,1.5,2,2,3101,4455,2017,Lake Washington School District,2149000.0,2128000.0,693.0,2026-02-23,42,0,ACTIVE
89,3,4,630 Smith Lake Apt. 573,Seattle,Greenwood,80030,47.60158,-122.33989,TOWNHOUSE,3,3.0,1,1,1843,7091,2010,Seattle Public Schools,1006000.0,1067000.0,545.85,2025-12-22,46,445,WITHDRAWN
90,96,17,6716 Lawson Station,Issaquah,Talus,19265,47.528467,-122.046284,CONDO,4,1.5,2,3,1045,2174,1982,Issaquah School District,469000.0,470000.0,448.8,2026-05-11,17,335,SOLD
91,55,28,71487 Peggy Crescent,Sammamish,Inglewood,63699,47.614026,-122.047482,TOWNHOUSE,3,3.5,3,3,1846,8190,1950,Lake Washington School District,922000.0,916000.0,499.46,2026-02-25,14,632,SOLD
92,143,3,32116 Ethan Islands,Renton,Fairwood,50765,47.492549,-122.20477,SINGLE_FAMILY,3,2.5,3,2,3158,4091,1954,Renton School District,1273000.0,1242000.0,403.1,2026-04-03,7,0,SOLD
93,19,12,471 Sandra Roads,Bellevue,Downtown,95582,47.603795,-122.195924,SINGLE_FAMILY,3,2.0,3,2,1824,4736,1958,Bellevue School District,1280000.0,1324000.0,701.75,2025-12-25,89,0,SOLD
94,76,21,99156 Valdez Tunnel Suite 334,Seattle,Capitol Hill,15664,47.600142,-122.320491,SINGLE_FAMILY,5,4.0,2,1,2700,6034,1967,Seattle Public Schools,1406000.0,1487000.0,520.74,2025-10-12,76,0,SOLD
95,89,7,59319 Anderson Island,Seattle,Queen Anne,50333,47.618369,-122.321556,SINGLE_FAMILY,2,1.5,1,3,4145,8338,2000,Seattle Public Schools,2488000.0,2673000.0,600.24,2026-01-24,37,0,ACTIVE
96,119,21,0983 Whitney Island,Seattle,Magnolia,48345,47.593394,-122.326949,SINGLE_FAMILY,3,1.5,3,2,4123,4425,1956,Seattle Public Schools,2169000.0,2326000.0,526.07,2026-04-15,21,0,WITHDRAWN
97,79,23,993 Randall Plain,Renton,Fairwood,60873,47.472472,-122.215094,SINGLE_FAMILY,4,2.5,1,1,2967,4065,1958,Renton School District,1297000.0,1303000.0,437.14,2025-10-21,36,0,PENDING
98,85,29,77294 Julie Vista Apt. 954,Bothell,North Creek,66348,47.758985,-122.209638,TOWNHOUSE,3,3.0,0,1,1956,6788,2005,Northshore School District,918000.0,927000.0,469.33,2026-06-24,82,291,SOLD
99,20,29,9737 Padilla Lane,Bothell,Canyon Park,08209,47.770588,-122.201451,CONDO,4,3.0,3,3,793,3242,2018,Northshore School District,332000.0,349000.0,418.66,2026-06-21,9,532,SOLD
100,75,5,33027 Evans Via Apt. 086,Seattle,Queen Anne,44726,47.606234,-122.344383,CONDO,3,1.0,1,3,1202,7104,2010,Seattle Public Schools,571000.0,563000.0,475.04,2025-11-29,26,637,ACTIVE
101,124,12,6618 Campbell Fields Suite 125,Redmond,Education Hill,99102,47.665465,-122.121871,SINGLE_FAMILY,2,2.0,1,1,2533,6977,2022,Lake Washington School District,2076000.0,2164000.0,819.58,2026-04-13,31,0,WITHDRAWN
102,83,4,472 Scott Orchard,Redmond,Bear Creek,38653,47.687953,-122.117493,TOWNHOUSE,3,3.5,2,3,1697,5959,2010,Lake Washington School District,1096000.0,1169000.0,645.85,2026-05-21,77,339,ACTIVE
103,133,13,30591 Nicholas Meadow,Bellevue,Somerset,89557,47.619617,-122.206149,SINGLE_FAMILY,4,3.0,0,3,4207,8725,1959,Bellevue School District,2883000.0,2916000.0,685.29,2026-05-01,22,0,SOLD
104,31,22,57201 Watkins Drive,Bellevue,West Bellevue,82679,47.607538,-122.206593,SINGLE_FAMILY,2,3.5,3,2,3907,3226,1985,Bellevue School District,2810000.0,2783000.0,719.22,2026-03-19,80,0,ACTIVE
105,132,2,13674 Denise Lane,Seattle,Magnolia,91175,47.595606,-122.34211,CONDO,5,3.0,3,3,672,6117,1981,Seattle Public Schools,276000.0,285000.0,410.71,2026-06-24,86,259,ACTIVE
106,121,28,6475 David Corner,Issaquah,Squak Mountain,16498,47.520217,-122.022689,TOWNHOUSE,3,4.0,1,3,2141,6903,1986,Issaquah School District,1111000.0,1104000.0,518.92,2025-12-24,70,385,SOLD
107,5,7,99974 Laura Falls,Seattle,Magnolia,50827,47.616988,-122.331969,TOWNHOUSE,3,1.5,0,1,1764,5398,2025,Seattle Public Schools,966000.0,977000.0,547.62,2025-12-22,83,557,ACTIVE
108,139,27,9215 Jennifer Wall Apt. 606,Seattle,Ballard,73384,47.618109,-122.323854,TOWNHOUSE,3,3.0,3,2,1815,8666,1965,Seattle Public Schools,770000.0,803000.0,424.24,2026-04-22,10,607,SOLD
109,148,4,89813 Henry Rapid Apt. 087,Redmond,Overlake,41696,47.662916,-122.122186,SINGLE_FAMILY,2,4.0,0,2,3774,6401,1998,Lake Washington School District,2439000.0,2582000.0,646.26,2025-08-12,74,0,SOLD
110,53,23,321 York Bypass,Bellevue,Somerset,11591,47.607365,-122.213303,SINGLE_FAMILY,3,3.0,2,2,1829,8503,2023,Bellevue School District,1623000.0,1667000.0,887.37,2026-06-20,73,0,ACTIVE
111,124,6,8260 Kevin Path Suite 872,Bellevue,Somerset,76138,47.611873,-122.201987,SINGLE_FAMILY,5,3.0,2,3,2928,4761,2000,Bellevue School District,2417000.0,2454000.0,825.48,2025-12-24,22,0,SOLD
112,55,17,598 Hailey Shore Apt. 303,Issaquah,Squak Mountain,19069,47.538682,-122.023574,TOWNHOUSE,3,3.5,0,1,2065,4687,1979,Issaquah School District,943000.0,987000.0,456.66,2025-10-16,86,252,ACTIVE
113,10,24,98395 Anderson Road,Bothell,North Creek,55815,47.773021,-122.208381,CONDO,4,2.0,0,1,1132,6745,2005,Northshore School District,469000.0,469000.0,414.31,2025-07-26,68,474,ACTIVE
114,60,20,6267 Shirley Springs Suite 283,Seattle,Capitol Hill,09749,47.611421,-122.336308,CONDO,4,1.5,0,2,1180,7887,1986,Seattle Public Schools,493000.0,521000.0,417.8,2026-02-13,56,430,PENDING
115,141,10,359 Robert Drives Suite 660,Kirkland,Rose Hill,79617,47.686793,-122.19355,SINGLE_FAMILY,3,4.0,2,1,2620,6467,2016,Lake Washington School District,1864000.0,1952000.0,711.45,2025-09-27,29,0,SOLD
116,129,10,81861 Bowman Lake Suite 423,Redmond,Overlake,36368,47.68731,-122.112412,SINGLE_FAMILY,5,3.0,2,3,1819,5127,1983,Lake Washington School District,1154000.0,1184000.0,634.41,2025-07-02,53,0,PENDING
117,8,16,61128 Chapman Valley Suite 185,Redmond,Education Hill,92311,47.666635,-122.12502,TOWNHOUSE,4,1.5,1,2,2075,4878,1993,Lake Washington School District,1238000.0,1263000.0,596.63,2026-01-23,50,514,PENDING
118,88,3,491 George Terrace Suite 258,Redmond,Bear Creek,72809,47.686842,-122.122203,TOWNHOUSE,3,3.0,2,1,1569,7612,1981,Lake Washington School District,876000.0,888000.0,558.32,2026-01-31,29,505,SOLD
119,92,5,9240 Diane Divide Suite 940,Renton,Highlands,95583,47.471496,-122.229745,SINGLE_FAMILY,5,2.5,0,3,2791,1846,1983,Renton School District,1233000.0,1224000.0,441.78,2026-02-16,66,0,ACTIVE
120,72,13,396 White Knoll Suite 844,Bellevue,West Bellevue,56569,47.617605,-122.212653,SINGLE_FAMILY,3,2.5,3,3,4153,1766,1985,Bellevue School District,3073000.0,3314000.0,739.95,2026-01-04,69,0,SOLD
